Age,Gender,2022E,2021E,2020E,2019E,2018E,2017E,2016E,2015E,2014E,2013E
40,F,43143,43696,43337,41408,39379,38506,38127,37471,37145,37081
41,F,43696,43337,41408,39379,38506,38127,37471,37145,37081,36199
42,F,43337,41408,39379,38506,38127,37471,37145,37081,36199,35025
43,F,41408,39379,38506,38127,37471,37145,37081,36199,35025,34414
44,F,39379,38506,38127,37471,37145,37081,36199,35025,34414,32204
45,F,38506,38127,37471,37145,37081,36199,35025,34414,32204,32168
46,F,38127,37471,37145,37081,36199,35025,34414,32204,32168,31563
47,F,37471,37145,37081,36199,35025,34414,32204,32168,31563,31279
48,F,37145,37081,36199,35025,34414,32204,32168,31563,31279,31764
49,F,37081,36199,35025,34414,32204,32168,31563,31279,31764,30660
50,F,36199,35025,34414,32204,32168,31563,31279,31764,30660,30000
51,F,35025,34414,32204,32168,31563,31279,31764,30660,30000,29063
52,F,34414,32204,32168,31563,31279,31764,30660,30000,29063,28856
53,F,32204,32168,31563,31279,31764,30660,30000,29063,28856,27899
54,F,32168,31563,31279,31764,30660,30000,29063,28856,27899,26312
55,F,31563,31279,31764,30660,30000,29063,28856,27899,26312,26109
56,F,31279,31764,30660,30000,29063,28856,27899,26312,26109,25183
57,F,31764,30660,30000,29063,28856,27899,26312,26109,25183,24662
58,F,30660,30000,29063,28856,27899,26312,26109,25183,24662,24524
59,F,30000,29063,28856,27899,26312,26109,25183,24662,24524,23018
60,F,29063,28856,27899,26312,26109,25183,24662,24524,23018,23375
61,F,28856,27899,26312,26109,25183,24662,24524,23018,23375,21897
62,F,27899,26312,26109,25183,24662,24524,23018,23375,21897,21236
63,F,26312,26109,25183,24662,24524,23018,23375,21897,21236,21159
64,F,26109,25183,24662,24524,23018,23375,21897,21236,21159,20134
65,F,25183,24662,24524,23018,23375,21897,21236,21159,20134,19177
66,F,24662,24524,23018,23375,21897,21236,21159,20134,19177,18294
67,F,24524,23018,23375,21897,21236,21159,20134,19177,18294,17665
68,F,23018,23375,21897,21236,21159,20134,19177,18294,17665,15971
69,F,23375,21897,21236,21159,20134,19177,18294,17665,15971,14666
70,F,21897,21236,21159,20134,19177,18294,17665,15971,14666,13938
71,F,21236,21159,20134,19177,18294,17665,15971,14666,13938,12173
72,F,21159,20134,19177,18294,17665,15971,14666,13938,12173,11191
73,F,20134,19177,18294,17665,15971,14666,13938,12173,11191,10759
74,F,19177,18294,17665,15971,14666,13938,12173,11191,10759,9985
75,F,18294,17665,15971,14666,13938,12173,11191,10759,9985,8890
76,F,17665,15971,14666,13938,12173,11191,10759,9985,8890,8303
77,F,15971,14666,13938,12173,11191,10759,9985,8890,8303,7501
78,F,14666,13938,12173,11191,10759,9985,8890,8303,7501,6766
79,F,13938,12173,11191,10759,9985,8890,8303,7501,6766,5927
80,F,12173,11191,10759,9985,8890,8303,7501,6766,5927,4961
81,F,11191,10759,9985,8890,8303,7501,6766,5927,4961,4285
82,F,10759,9985,8890,8303,7501,6766,5927,4961,4285,0
83,F,9985,8890,8303,7501,6766,5927,4961,4285,0,0
84,F,8890,8303,7501,6766,5927,4961,4285,0,0,0
85,F,8303,7501,6766,5927,4961,4285,0,0,0,0
86,F,7501,6766,5927,4961,4285,0,0,0,0,0
87,F,6766,5927,4961,4285,0,0,0,0,0,0
88,F,5927,4961,4285,0,0,0,0,0,0,0
89,F,4961,4285,0,0,0,0,0,0,0,0
90,F,4285,0,0,0,0,0,0,0,0,0
