Age,Gender,2022E,2021E,2020E,2019E,2018E,2017E,2016E,2015E,2014E,2013E
40,M,40301,41401,41644,39275,37940,37710,37289,37053,36472,36650
41,M,41401,41644,39275,37940,37710,37289,37053,36472,36650,36050
42,M,41644,39275,37940,37710,37289,37053,36472,36650,36050,34926
43,M,39275,37940,37710,37289,37053,36472,36650,36050,34926,34356
44,M,37940,37710,37289,37053,36472,36650,36050,34926,34356,32611
45,M,37710,37289,37053,36472,36650,36050,34926,34356,32611,32050
46,M,37289,37053,36472,36650,36050,34926,34356,32611,32050,31353
47,M,37053,36472,36650,36050,34926,34356,32611,32050,31353,30684
48,M,36472,36650,36050,34926,34356,32611,32050,31353,30684,30891
49,M,36650,36050,34926,34356,32611,32050,31353,30684,30891,29775
50,M,36050,34926,34356,32611,32050,31353,30684,30891,29775,29196
51,M,34926,34356,32611,32050,31353,30684,30891,29775,29196,28455
52,M,34356,32611,32050,31353,30684,30891,29775,29196,28455,27849
53,M,32611,32050,31353,30684,30891,29775,29196,28455,27849,27116
54,M,32050,31353,30684,30891,29775,29196,28455,27849,27116,25884
55,M,31353,30684,30891,29775,29196,28455,27849,27116,25884,25127
56,M,30684,30891,29775,29196,28455,27849,27116,25884,25127,24900
57,M,30891,29775,29196,28455,27849,27116,25884,25127,24900,23759
58,M,29775,29196,28455,27849,27116,25884,25127,24900,23759,23627
59,M,29196,28455,27849,27116,25884,25127,24900,23759,23627,22502
60,M,28455,27849,27116,25884,25127,24900,23759,23627,22502,22594
61,M,27849,27116,25884,25127,24900,23759,23627,22502,22594,21253
62,M,27116,25884,25127,24900,23759,23627,22502,22594,21253,20449
63,M,25884,25127,24900,23759,23627,22502,22594,21253,20449,19965
64,M,25127,24900,23759,23627,22502,22594,21253,20449,19965,19121
65,M,24900,23759,23627,22502,22594,21253,20449,19965,19121,18493
66,M,23759,23627,22502,22594,21253,20449,19965,19121,18493,17473
67,M,23627,22502,22594,21253,20449,19965,19121,18493,17473,16094
68,M,22502,22594,21253,20449,19965,19121,18493,17473,16094,14601
69,M,22594,21253,20449,19965,19121,18493,17473,16094,14601,13392
70,M,21253,20449,19965,19121,18493,17473,16094,14601,13392,12166
71,M,20449,19965,19121,18493,17473,16094,14601,13392,12166,10674
72,M,19965,19121,18493,17473,16094,14601,13392,12166,10674,9470
73,M,19121,18493,17473,16094,14601,13392,12166,10674,9470,8779
74,M,18493,17473,16094,14601,13392,12166,10674,9470,8779,7900
75,M,17473,16094,14601,13392,12166,10674,9470,8779,7900,6765
76,M,16094,14601,13392,12166,10674,9470,8779,7900,6765,6154
77,M,14601,13392,12166,10674,9470,8779,7900,6765,6154,5370
78,M,13392,12166,10674,9470,8779,7900,6765,6154,5370,4515
79,M,12166,10674,9470,8779,7900,6765,6154,5370,4515,3771
80,M,10674,9470,8779,7900,6765,6154,5370,4515,3771,3036
81,M,9470,8779,7900,6765,6154,5370,4515,3771,3036,2444
82,M,8779,7900,6765,6154,5370,4515,3771,3036,2444,0
83,M,7900,6765,6154,5370,4515,3771,3036,2444,0,0
84,M,6765,6154,5370,4515,3771,3036,2444,0,0,0
85,M,6154,5370,4515,3771,3036,2444,0,0,0,0
86,M,5370,4515,3771,3036,2444,0,0,0,0,0
87,M,4515,3771,3036,2444,0,0,0,0,0,0
88,M,3771,3036,2444,0,0,0,0,0,0,0
89,M,3036,2444,0,0,0,0,0,0,0,0
90,M,2444,0,0,0,0,0,0,0,0,0
