AGE,No. Of Clients,Census 2022,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
40,8,83444,83444,85097,84981,80683,77319,76216,75416,74524,73617,73731
41,11,85097,85097,84981,80683,77319,76216,75416,74524,73617,73731,72249
42,8,84981,84981,80683,77319,76216,75416,74524,73617,73731,72249,69951
43,7,80683,80683,77319,76216,75416,74524,73617,73731,72249,69951,68770
44,11,77319,77319,76216,75416,74524,73617,73731,72249,69951,68770,64815
45,18,76216,76216,75416,74524,73617,73731,72249,69951,68770,64815,64218
46,8,75416,75416,74524,73617,73731,72249,69951,68770,64815,64218,62916
47,16,74524,74524,73617,73731,72249,69951,68770,64815,64218,62916,61963
48,23,73617,73617,73731,72249,69951,68770,64815,64218,62916,61963,62655
49,21,73731,73731,72249,69951,68770,64815,64218,62916,61963,62655,60435
50,15,72249,72249,69951,68770,64815,64218,62916,61963,62655,60435,59196
51,18,69951,69951,68770,64815,64218,62916,61963,62655,60435,59196,57518
52,51,68770,68770,64815,64218,62916,61963,62655,60435,59196,57518,56705
53,2033,64815,64815,64218,62916,61963,62655,60435,59196,57518,56705,55015
54,44807,64218,64218,62916,61963,62655,60435,59196,57518,56705,55015,52196
55,51547,62916,62916,61963,62655,60435,59196,57518,56705,55015,52196,51236
56,54061,61963,61963,62655,60435,59196,57518,56705,55015,52196,51236,50083
57,56946,62655,62655,60435,59196,57518,56705,55015,52196,51236,50083,48421
58,59012,60435,60435,59196,57518,56705,55015,52196,51236,50083,48421,48151
59,63103,59196,59196,57518,56705,55015,52196,51236,50083,48421,48151,45520
60,62883,57518,57518,56705,55015,52196,51236,50083,48421,48151,45520,45969
61,62842,56705,56705,55015,52196,51236,50083,48421,48151,45520,45969,43150
62,60850,55015,55015,52196,51236,50083,48421,48151,45520,45969,43150,41685
63,71406,52196,52196,51236,50083,48421,48151,45520,45969,43150,41685,41124
64,74442,51236,51236,50083,48421,48151,45520,45969,43150,41685,41124,39255
65,71299,50083,50083,48421,48151,45520,45969,43150,41685,41124,39255,37670
66,67547,48421,48421,48151,45520,45969,43150,41685,41124,39255,37670,35767
67,65981,48151,48151,45520,45969,43150,41685,41124,39255,37670,35767,33759
68,62643,45520,45520,45969,43150,41685,41124,39255,37670,35767,33759,30572
69,62226,45969,45969,43150,41685,41124,39255,37670,35767,33759,30572,28058
70,58354,43150,43150,41685,41124,39255,37670,35767,33759,30572,28058,26104
71,56609,41685,41685,41124,39255,37670,35767,33759,30572,28058,26104,22847
72,55015,41124,41124,39255,37670,35767,33759,30572,28058,26104,22847,20661
73,54284,39255,39255,37670,35767,33759,30572,28058,26104,22847,20661,19538
74,52243,37670,37670,35767,33759,30572,28058,26104,22847,20661,19538,17885
75,48915,35767,35767,33759,30572,28058,26104,22847,20661,19538,17885,15655
76,46012,33759,33759,30572,28058,26104,22847,20661,19538,17885,15655,14457
77,41822,30572,30572,28058,26104,22847,20661,19538,17885,15655,14457,12871
78,39296,28058,28058,26104,22847,20661,19538,17885,15655,14457,12871,11281
79,36651,26104,26104,22847,20661,19538,17885,15655,14457,12871,11281,9698
80,32929,22847,22847,20661,19538,17885,15655,14457,12871,11281,9698,7997
81,31267,20661,20661,19538,17885,15655,14457,12871,11281,9698,7997,6729
82,30578,19538,19538,17885,15655,14457,12871,11281,9698,7997,6729,0
83,29304,17885,17885,15655,14457,12871,11281,9698,7997,6729,0,0
84,27539,15655,15655,14457,12871,11281,9698,7997,6729,0,0,0
85,6607,14457,14457,12871,11281,9698,7997,6729,0,0,0,0
86,11,12871,12871,11281,9698,7997,6729,0,0,0,0,0
87,3,11281,11281,9698,7997,6729,0,0,0,0,0,0
88,4,9698,9698,7997,6729,0,0,0,0,0,0,0
89,6,7997,7997,6729,0,0,0,0,0,0,0,0
90,3,6729,6729,0,0,0,0,0,0,0,0,0
